"rho","gamma","brier_male","brier_female","auc_male","auc_female"
0,0,0.154339965610685,0.102916037531556,0.770860927262372,0.785256844490334
0.1,0,0.155297775034293,0.0895798702077729,0.77408221205608,0.793718697925908
0.2,0,0.155265226185533,0.0908821159435953,0.784107686494799,0.792191147448107
0.3,0,0.153759439279118,0.0935259639527812,0.795946743220983,0.79440677091308
0.4,0,0.150157541574073,0.0968821213747877,0.802310181320012,0.793673262490083
0.5,0,0.158892911032858,0.0995065788631991,0.821157344579999,0.793144981551376
0.6,0,0.153475953201242,0.0962015514579448,0.823356735186004,0.812582455837893
0.7,0,0.166429793269592,0.107583093897312,0.838247140259808,0.812464876094967
0.8,0,0.197330809454074,0.126789425138244,0.868668032190626,0.83534499074881
0.9,0,0.292837075298527,0.180703010536138,0.906070156313042,0.914605488922064
0,0.1,0.154914108740666,0.0934285955462948,0.762912781606617,0.794675432130606
0.1,0.1,0.15572838266057,0.0931192668560892,0.778788320180888,0.789455357279559
0.2,0.1,0.161024479524172,0.0926857249995392,0.78390982437221,0.788894075167073
0.3,0.1,0.154729715355447,0.0877663014524597,0.790740749512141,0.804902514023089
0.4,0.1,0.150986165569895,0.0946700749441158,0.799034004264311,0.796934857716132
0.5,0.1,0.151572828192031,0.0912139982108279,0.808374804584182,0.801522608234576
0.6,0.1,0.16066233076022,0.0995439137433044,0.827269591996013,0.815772077927958
0.7,0.1,0.168986793136738,0.1110998269892,0.843872177980283,0.814744349966246
0.8,0.1,0.198191568590389,0.112596232244829,0.863510038714847,0.847951199208972
0.9,0.1,0.286231624412506,0.188748896469526,0.900402183341519,0.912703732387945
0,0.2,0.158498020897629,0.0935579565640619,0.774505201163953,0.799457012010051
0.1,0.2,0.146132578409123,0.0900941425330565,0.770977645998546,0.797688471572198
0.2,0.2,0.15391216529482,0.0937399381580374,0.787196041459283,0.792568950890457
0.3,0.2,0.154554547957823,0.0901429912343887,0.792809212375231,0.800913479419963
0.4,0.2,0.152834063905028,0.0919185027746242,0.803345661295801,0.799111294046678
0.5,0.2,0.150609698042198,0.0921055933904481,0.813279509361001,0.806991409955286
0.6,0.2,0.1600231264809,0.0990518591761823,0.829785616190164,0.80590879990035
0.7,0.2,0.177814883422163,0.105744735456449,0.843851761759821,0.821851118487855
0.8,0.2,0.184687600016955,0.122008136013854,0.855549673142499,0.861451290249093
0.9,0.2,0.28584322255572,0.170078805726852,0.89641560050719,0.919203686561178
0,0.3,0.155270017264856,0.0935280295457,0.783488370325714,0.793247585073335
0.1,0.3,0.150639831287404,0.089709628973711,0.77521805979442,0.796482006182026
